0.00000,0.00000
-2.96693,-9.24129
-6.82513,-5.03112
-9.48204,1.07182
1.16674,-8.40676
-4.02359,4.79828
8.25470,1.49562
-5.68437,-6.16801
5.24481,-3.34519
5.25264,-4.59738
-3.01472,-9.39099
-0.04486,-6.94627
-3.78422,-6.13909
-4.18522,8.37683
-1.40406,-6.18931
5.85636,-4.97599
4.80781,7.64881
2.65598,-8.26742
-3.53527,5.90405
-2.61863,6.34980
-1.88904,4.22071
7.18222,5.19284
5.54122,0.52322
-2.11828,0.48554
4.48817,-0.12587
1.43040,3.48919
-2.81814,5.43498
3.30148,-0.55366
-6.87868,3.06122
-3.35653,-8.21617
-1.85036,9.66459
-6.94746,-0.66014
7.62165,2.48800
-4.21640,4.33576
7.72606,-0.25374
-0.65592,0.39597
-4.08810,-5.50667
8.63540,-0.33340
3.51517,-5.54179
-7.15522,0.71206
8.69159,-4.52802
-5.80364,4.06261
-0.94768,-0.93332
4.65770,8.69129
-3.73323,8.30734
2.74382,-7.08583
6.00500,6.54573
-8.34326,4.62830
-6.65514,-0.48784
6.67420,-6.01477
-5.75913,-6.96058
2.48615,5.05453
4.54620,4.52408
-3.05493,9.21349
0.56981,-5.94246
2.98133,-2.03116
-5.25701,-3.99531
-1.03899,2.30959
6.66909,-4.21385
-0.65182,2.84224
-3.74344,-7.87984
-5.29025,-5.21798
4.25583,0.51479
6.98409,5.49922
3.71386,2.67078
5.16364,1.40534
0.20470,9.90094
-3.81524,5.02936
-3.09147,4.70715
8.14573,-0.96641
-2.22682,-3.43114
6.21157,-1.87997
-9.68431,1.39913
-7.23243,1.59633
-5.30567,4.16760
0.89928,-7.76266
1.34845,-3.29990
-8.63988,-0.46444
-8.85835,4.21459
-5.48482,5.37450
2.15262,7.02307
-0.77587,-7.50967
-2.75466,-1.08126
6.24480,3.80029
-0.82805,-5.35096
3.13821,-0.74374
0.96851,4.21021
-8.16128,4.12997
0.53195,7.29657
1.63989,-8.32752
0.84896,1.11419
7.45032,-4.13284
-0.65222,-5.57024
4.46027,-6.92137
1.48658,-0.35245
1.89710,-8.99551
-1.63435,-4.21810
-0.93645,-7.07607
-5.12069,-5.86754
0.46937,-8.60943
